step,time/inter_step (ms),time/intra_step (ms)
49,,2741.417646408081
49,0.6182193756103516,
99,,724.5442867279053
99,8.514642715454102,
149,,3233.649492263794
149,0.5977153778076172,
199,,201.12895965576172
199,8.624792098999023,
249,,255.66506385803223
249,0.7588863372802734,
299,,1110.1901531219482
299,8.890628814697266,
349,,526.3099670410156
349,0.40531158447265625,
399,,3518.6660289764404
399,18.708467483520508,
449,,413.94734382629395
449,0.46563148498535156,
499,,441.0867691040039
499,8.851766586303711,
549,,1164.9703979492188
549,0.9417533874511719,
599,,248.46792221069336
599,8.881807327270508,
649,,2743.253231048584
649,0.5631446838378906,
699,,920.2516078948975
699,8.812427520751953,
749,,299.8015880584717
749,0.7891654968261719,
799,,917.2706604003906
799,8.397579193115234,
849,,659.8892211914062
849,0.4436969757080078,
899,,539.20578956604
899,8.782386779785156,
949,,280.59840202331543
949,0.4608631134033203,
999,,865.4296398162842
999,9.16433334350586,
1049,,537.1971130371094
1049,0.4916191101074219,
1099,,2966.6285514831543
1099,17.701387405395508,
1149,,870.0146675109863
1149,0.8134841918945312,
1199,,201.94435119628906
1199,7.93004035949707,
1249,,810.6410503387451
1249,0.5369186401367188,
1299,,2605.26442527771
1299,8.069038391113281,
1349,,270.83778381347656
1349,0.45752525329589844,
1399,,420.24803161621094
1399,8.392572402954102,
1449,,1187.3135566711426
1449,0.591278076171875,
1499,,738.1432056427002
1499,8.020639419555664,
1549,,562.9117488861084
1549,0.49757957458496094,
1599,,2642.7650451660156
1599,11.86227798461914,
1649,,790.1144027709961
1649,0.45800209045410156,
1699,,640.7935619354248
1699,8.023738861083984,
1749,,687.1521472930908
1749,0.5936622619628906,
1799,,369.77076530456543
1799,7.95435905456543,
1849,,3015.867233276367
1849,1.3189315795898438,
1899,,410.2041721343994
1899,8.167743682861328,
1949,,1116.7407035827637
1949,1.2912750244140625,
1999,,574.4397640228271
1999,8.12840461730957,
2049,,3191.149950027466
2049,1.050710678100586,
2099,,973.2706546783447
2099,8.975744247436523,
2149,,1203.0024528503418
2149,0.6501674652099609,
2199,,207.71455764770508
2199,8.645772933959961,
2249,,390.9797668457031
2249,0.43201446533203125,
2299,,209.3367576599121
2299,8.062601089477539,
2349,,369.9169158935547
2349,0.3864765167236328,
2399,,673.0787754058838
2399,8.719682693481445,
2449,,855.6184768676758
2449,0.6043910980224609,
2499,,689.9535655975342
2499,17.21334457397461,
2549,,865.3764724731445
2549,2.208709716796875,
2599,,324.2635726928711
2599,8.160114288330078,
2649,,319.51427459716797
2649,0.4725456237792969,
2699,,361.8588447570801
2699,7.786273956298828,
2749,,2666.898727416992
2749,0.5164146423339844,
2799,,887.3293399810791
2799,7.5817108154296875,
2849,,725.6820201873779
2849,0.40602684020996094,
2899,,3055.6511878967285
2899,8.45479965209961,
2949,,217.25845336914062
2949,0.7762908935546875,
2999,,3124.382257461548
2999,21.19159698486328,
3049,,618.1354522705078
3049,0.37097930908203125,
3099,,872.7774620056152
3099,9.256601333618164,
3149,,618.140697479248
3149,0.4954338073730469,
3199,,381.3130855560303
3199,8.18324089050293,
3249,,1003.0817985534668
3249,0.9837150573730469,
3299,,1138.9343738555908
3299,15.810251235961914,
3349,,2858.7543964385986
3349,0.8368492126464844,
3399,,830.6171894073486
3399,9.550094604492188,
3449,,723.3405113220215
3449,0.6573200225830078,
3499,,906.6393375396729
3499,8.441686630249023,
3549,,2427.1438121795654
3549,0.507354736328125,
3599,,469.1576957702637
3599,8.529424667358398,
3649,,349.45011138916016
3649,0.47850608825683594,
3699,,1228.1789779663086
3699,8.5601806640625,
3749,,698.967456817627
3749,0.6175041198730469,
3799,,2848.283052444458
3799,10.592222213745117,
3849,,401.66687965393066
3849,0.5705356597900391,
3899,,397.5694179534912
3899,8.969783782958984,
3949,,651.803731918335
3949,0.49042701721191406,
3999,,294.01707649230957
3999,8.089780807495117,
